net,length_um
u_cmd_parser.challenge_nonce\[10\],445
clknet_5_25__leaf_clk,444.85
_04206_,444.65
_17788_,444.24
_04390_,443.88
_14624_,443.46
clknet_5_13__leaf_clk,443.23
net78,442.92
_11345_,442.755
_17426_,442.32
_07960_,442.1
_16986_,442
net127,441.92
_16997_,441.85
_17189_,441.475
_04044_,439.515
_18070_,439.505
u_cmd_parser.challenge_nonce\[127\],439.36
_16993_,439.06
_13806_,438.95
clknet_5_9__leaf_clk,437.77
_16635_,437.76
_05741_,437.35
_05512_,436.88
_04733_,436.3
u_cmd_parser.challenge_nonce\[12\],436.14
_15604_,434.865
_17055_,433.46
u_cmd_parser.challenge_nonce\[18\],432.9
_17033_,432.35
_17340_,431.92
_12117_,431.265
u_cmd_parser.challenge_nonce\[121\],430.82
net56,429.975
_14192_,429.16
_18025_,429.08
_17533_,428.99
_17257_,428.83
_18008_,428.12
_15801_,427.44
_17690_,427.19
_17403_,426.93
_13078_,426.64
_11277_,426.39
_04722_,425.35
_16900_,424.94
_13263_,424.48
_04453_,424.04
_17525_,422.46
_06940_,421.67
net81,421.46
_17026_,420.18
_14287_,419.62
_17020_,419.035
_14423_,418.5
net19,418.32
net15,418.27
_16456_,417.15
_14166_,415.05
_19575_,414.295
_04593_,414.16
_14336_,413.43
_14458_,411.98
_17887_,411.975
_15295_,411.7
u_cmd_parser.challenge_nonce\[11\],410.62
_14293_,410.565
_12862_,410.54
_07910_,409.69
_17079_,409.28
net16,409.08
_03937_,408.22
_17914_,407.53
_04173_,407.04
_07143_,406.92
_17743_,406.7
_16910_,406.12
_17022_,406.06
_07172_,406.01
_17161_,405.49
_17770_,404.925
_06938_,403.5
_12956_,403.36
_17585_,403.21
net51,402.375
_17543_,402.345
clknet_5_8__leaf_clk,401.99
_04475_,401.82
_17724_,401.78
_17023_,401.54
net37,401.505
_17016_,401.5
u_cmd_parser.challenge_nonce\[9\],401.48
_18244_,401.34
_17752_,399.745
net48,398.225
_15543_,397.49
u_auth_fsm.nonce_hist\[4\]\[47\],397.2
_17594_,396.74
_13949_,396.53
clknet_5_3__leaf_clk,396.28
u_cmd_parser.challenge_nonce\[124\],396.24
_18456_,396.01
_19658_,395.78
u_cmd_parser.challenge_nonce\[29\],395.6
_17025_,395.42
_18114_,395.36
net82,394.9
_04766_,393.07
_16981_,392.66
_06590_,391.98
_17419_,391.965
_17126_,391.915
u_cmd_parser.challenge_nonce\[125\],391.2
_08087_,390.32
_04626_,390.16
_17451_,389.25
u_cmd_parser.challenge_nonce\[119\],389.2
net153,389.195
_09106_,389.16
u_cmd_parser.challenge_nonce\[87\],388.24
_09046_,388.09
u_cmd_parser.challenge_nonce\[120\],388.02
_16952_,387.48
_17028_,386.82
_17122_,386.5
_17030_,386.43
_17121_,384.37
_04346_,384.3
_14175_,383.91
_16903_,383.59
u_cmd_parser.challenge_nonce\[35\],383.48
_16892_,383.22
_15886_,381.43
net23,381.03
_17817_,380.395
net12,379.48
_14786_,379.18
_17061_,378.17
_12787_,377.04
_14212_,376.98
_16921_,376.865
net2516,376.5
_17065_,375.56
_09292_,375.54
clknet_5_21__leaf_clk,375.2
_18371_,374.65
_17880_,373.4
_16978_,373.095
_14916_,372.92
net207,372.08
u_cmd_parser.challenge_nonce\[16\],372.02
_05852_,371.72
_14719_,371.34
_14040_,371.165
_16179_,371.04
_05594_,370.42
_17274_,369.12
net17,369.02
u_cmd_parser.challenge_nonce\[34\],368.92
u_cmd_parser.challenge_nonce\[84\],368.9
u_cmd_parser.challenge_nonce\[57\],368.815
_06154_,368.64
_17118_,368.525
_13142_,368.42
_15273_,367.95
_18047_,367.905
clknet_5_14__leaf_clk,367.89
_17931_,367.66
_14911_,367.18
net156,366.97
_14944_,366.1
_15240_,366.01
u_cmd_parser.challenge_nonce\[30\],365.515
_13550_,365.33
_07147_,365.12
_16917_,364.75
u_cmd_parser.challenge_nonce\[31\],364.45
_14202_,363.68
net71,363.625
_13774_,363.515
_15196_,363.4
_17156_,363.105
_07262_,362.92
_16924_,362.88
_12677_,362.86
net13,362.85
_17849_,362.57
_04022_,362.55
_06076_,362.35
_04151_,362.09
_05704_,360.945
clknet_5_11__leaf_clk,360.58
_15218_,360.3
_14184_,360.11
_13294_,360.1
u_cmd_parser.challenge_nonce\[50\],359.98
_14807_,359.38
_04975_,358.94
_12739_,357.78
u_cmd_parser.challenge_nonce\[13\],357.75
_11616_,356.7
_05653_,356.53
fifo_nonce\[0\]\[110\],356.26
_13841_,356.17
_18024_,356.15
clknet_5_7__leaf_clk,355.77
_14685_,355.31
_08760_,355.29
_05584_,355.24
_14322_,354.9
_17247_,353.765
_06635_,353.71
_15670_,352.84
_14796_,352.74
u_cmd_parser.challenge_nonce\[51\],352.56
_18220_,351.92
net64,351.88
_15823_,351.8
_07589_,351.41
_14703_,350.66
_09759_,350.12
_14980_,349.4
_16485_,349.28
_07144_,349.13
_14695_,349.115
_14971_,348.995
_13358_,348.96
_15714_,348.205
_17551_,348.105
_18359_,348.02
_10035_,347.86
_14330_,347.6
_15466_,347.195
_04571_,345.775
u_auth_fsm.nonce_hist\[4\]\[80\],345.41
_06598_,345.31
_07064_,345.11
_15615_,344.845
_14000_,344.84
_17210_,344.83
fifo_nonce\[0\]\[109\],344.1
_14929_,343.42
net101,343.37
_04011_,342.63
_04486_,342.39
_08890_,342.27
_07849_,341.92
_05312_,341.725
_11341_,341.66
_15746_,341.48
_17181_,341.16
_10879_,340.98
_06632_,340.94
u_cmd_parser.challenge_nonce\[86\],340.82
_17759_,340.17
net69,340.13
u_cmd_parser.challenge_nonce\[101\],340
net28,339.98
_17366_,339.97
_04582_,339.71
_04261_,339.6
_07588_,339.52
_06028_,339.49
_06019_,339.07
u_cmd_parser.challenge_nonce\[79\],339.06
u_cmd_parser.challenge_nonce\[53\],338.65
_09748_,337.635
u_cmd_parser.challenge_nonce\[83\],337.59
net248,337.5
u_cmd_parser.challenge_nonce\[52\],337.06
_06022_,336.31
_03802_,336.01
_07148_,335.92
_17922_,335.52
_04681_,335.485
clknet_5_4__leaf_clk,335.41
clknet_5_0__leaf_clk,335.37
u_cmd_parser.challenge_nonce\[122\],335.275
_06073_,335.24
_04821_,335.19
_16887_,335.03
_16915_,334.81
_17060_,334.04
net20,333.99
_14816_,333.56
_11176_,333.38
_16364_,333.36
_05235_,332.93
_14007_,332.88
_05323_,332.3
_08348_,332.3
_18089_,332.02
_03829_,331.84
_17433_,331.56
net29,330.88
u_cmd_parser.challenge_nonce\[100\],330.83
u_cmd_parser.challenge_nonce\[43\],330.72
_08430_,330.455
_05651_,330.15
_17304_,329.96
_06883_,329.905
_04066_,329.8
_16919_,329.7
_03832_,328.29
_15069_,328.05
_18035_,327.85
_12423_,327.83
u_cmd_parser.challenge_nonce\[17\],327.23
_03657_,327.22
_15086_,327.17
u_cmd_parser.challenge_nonce\[88\],327.02
net35,326.87
_15018_,326.61
clknet_5_5__leaf_clk,326.6
_17955_,326.56
_11681_,326.52
_04302_,325.65
_18058_,325.48
_16508_,324.88
clknet_5_6__leaf_clk,324.74
_04335_,324.52
_17837_,324.47
_15144_,324.24
_09597_,324.08
net24,324.07
u_auth_fsm.aes_plaintext\[28\],323.83
u_cmd_parser.challenge_nonce\[82\],323.56
_14941_,323.41
_19569_,323.36
_08346_,323.2
